first_name,id,total_publications,research_orgs,last_name,orcid_id,full_name,url
Thomas,ur.01327120426.07,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Sartorius,,Thomas Sartorius,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01327120426.07
Erik,ur.013541172306.41,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Liermann,,Erik Liermann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013541172306.41
Dirk,ur.012546226643.27,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Hellrung,,Dirk Hellrung,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012546226643.27
Jochen,ur.01056521266.72,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Wüppen,,Jochen Wüppen,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01056521266.72
Raphael,ur.015271725713.63,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Kasemann,,Raphael Kasemann,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.015271725713.63
Jürgen,ur.016664666713.08,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Klein,,Jürgen Klein,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016664666713.08
Rüdiger,ur.01122322417.55,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Fleige,,Rüdiger Fleige,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01122322417.55
Fahri,ur.013612613223.01,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Sari,,Fahri Sari,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.013612613223.01
Philipp,ur.01261205555.80,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}]",Jacobs,,Philipp Jacobs,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01261205555.80
Gesa,ur.010427457601.75,6,"[{'id': 'grid.461628.f', 'acronym': 'ILT', 'name': 'Fraunhofer Institute for Laser Technology', 'country_name': 'Germany'}, {'id': 'grid.1957.a', 'acronym': 'RWTH', 'name': 'RWTH Aachen University', 'country_name': 'Germany'}]",Rolink,,Gesa Rolink,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010427457601.75
