,FOR,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,publication_ids,times_cited,title,year
149,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Harvard College', 'HARVARD COLLEGE']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]",Grant,2015.0,US-9077975-B2,"['Xiaowei Zhuang', 'Wilfred M. Bates', 'Bo Huang', 'Wenqin Wang']",2015-07-07,"['pub.1002827194', 'pub.1022172903', 'pub.1049268300', 'pub.1026350706', 'pub.1013277164', 'pub.1029818442', 'pub.1045995150', 'pub.1041404866', 'pub.1003390137', 'pub.1038270145', 'pub.1055152495', 'pub.1045186639', 'pub.1056042153', 'pub.1056064378', 'pub.1025693781', 'pub.1038695252', 'pub.1032298028', 'pub.1029362798', 'pub.1040342486', 'pub.1049908058', 'pub.1012051002', 'pub.1030665993', 'pub.1021813707', 'pub.1018882864', 'pub.1044627216', 'pub.1024916372', 'pub.1004575063', 'pub.1050625644', 'pub.1012403980', 'pub.1050279187', 'pub.1022013159', 'pub.1014551162', 'pub.1014212092', 'pub.1038068501', 'pub.1012570814', 'pub.1022108219', 'pub.1046816337', 'pub.1005581664', 'pub.1065166994', 'pub.1065190199', 'pub.1065215090', 'pub.1065220761', 'pub.1034907963', 'pub.1022760467', 'pub.1032286860', 'pub.1004572329']",2,Sub-diffraction limit image resolution in three dimensions,2013
150,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","['Samsung Display Co Ltd', 'SAMSUNG DISPLAY CO LTD']","[{'id': 'grid.419666.a', 'name': 'Samsung (South Korea)', 'country_name': 'South Korea'}]",Grant,2018.0,US-10036894-B2,"['Seung Jun JEONG', 'Il-joo Kim', 'Hyun Seung Seo', 'Jin Hwan Kim', 'Hae Young Yun']",2018-07-31,['pub.1061297054'],0,Image display and liquid crystal lens therefor,2017
151,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Kent State University', 'Leland Stanford Junior University', 'TWIEG ROBERT J', 'MOERNER WILLIAM E', 'LORD SAMUEL J', 'LIU NA', 'SAMUEL REICHEL', 'UNIV KENT STATE OHIO', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.258518.3', 'acronym': 'KSU', 'name': 'Kent State University', 'country_name': 'United States'}]",Grant,2012.0,US-8153446-B2,"['Robert J. Twieg', 'William E. Moerner', 'Samuel J. Lord', 'Na LIU', 'Reichel Samuel']",2012-04-10,"['pub.1038267163', 'pub.1026987833', 'pub.1021572742', 'pub.1042540898', 'pub.1025870963', 'pub.1029547982', 'pub.1045181685', 'pub.1030730167', 'pub.1050461131', 'pub.1027204850', 'pub.1054976248', 'pub.1055408572', 'pub.1055701217', 'pub.1055705070', 'pub.1055739922', 'pub.1055766636', 'pub.1023803179', 'pub.1007475976', 'pub.1055865805', 'pub.1055971993', 'pub.1055977818', 'pub.1055994418', 'pub.1056053831', 'pub.1056258650', 'pub.1015891047', 'pub.1028564827', 'pub.1018882864', 'pub.1039240840', 'pub.1052961777', 'pub.1012576252', 'pub.1004298192', 'pub.1001487319', 'pub.1038334234', 'pub.1026907299', 'pub.1012570814', 'pub.1022108219', 'pub.1062552025', 'pub.1035020222', 'pub.1032286860']",0,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems,2009
152,,"['Harvard College', 'HARVARD COLLEGE']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]",Grant,2018.0,US-10006917-B2,"['Mingjie Dai', 'Peng Yin']",2018-06-26,"['pub.1031218136', 'pub.1043638915', 'pub.1003164417', 'pub.1007853236', 'pub.1053514788', 'pub.1006488922', 'pub.1010403050', 'pub.1026958546', 'pub.1007816560', 'pub.1010838518', 'pub.1029198365', 'pub.1052786842', 'pub.1019108309', 'pub.1000689265', 'pub.1005720920', 'pub.1017507875', 'pub.1052341201', 'pub.1048613665', 'pub.1045990670', 'pub.1005288477', 'pub.1017069332', 'pub.1045695037', 'pub.1045995150', 'pub.1012236485', 'pub.1024456939', 'pub.1054076278', 'pub.1054055364', 'pub.1054993674', 'pub.1005838886', 'pub.1045186639', 'pub.1055848633', 'pub.1010893751', 'pub.1049844850', 'pub.1051000906', 'pub.1015552893', 'pub.1055860638', 'pub.1049657450', 'pub.1044024645', 'pub.1025479717', 'pub.1056120949', 'pub.1056123313', 'pub.1056126795', 'pub.1037668364', 'pub.1007254034', 'pub.1015431161', 'pub.1013163341', 'pub.1005524321', 'pub.1024904245', 'pub.1031185154', 'pub.1004646089', 'pub.1029099573', 'pub.1014061671', 'pub.1036498805', 'pub.1041715696', 'pub.1008920914', 'pub.1004035346', 'pub.1032740004', 'pub.1029362798', 'pub.1012490177', 'pub.1017575936', 'pub.1030665993', 'pub.1043491552', 'pub.1040676779', 'pub.1006579896', 'pub.1051021562', 'pub.1036641760', 'pub.1032254220', 'pub.1018882864', 'pub.1006008471', 'pub.1047295499', 'pub.1002422470', 'pub.1029360393', 'pub.1018501444', 'pub.1034803646', 'pub.1038058175', 'pub.1023877932', 'pub.1034812643', 'pub.1038486440', 'pub.1044910093', 'pub.1023565177', 'pub.1057938292', 'pub.1027384218', 'pub.1058004043', 'pub.1045406480', 'pub.1014802722', 'pub.1036737982', 'pub.1005549896', 'pub.1014551162', 'pub.1049061991', 'pub.1032129864', 'pub.1040452142', 'pub.1014053779', 'pub.1015679949', 'pub.1009187647', 'pub.1050652321', 'pub.1027232166', 'pub.1020766143', 'pub.1059051030', 'pub.1038068501', 'pub.1048415882', 'pub.1022202754', 'pub.1000582818', 'pub.1021923425', 'pub.1062449581', 'pub.1022108219', 'pub.1046816337', 'pub.1005581664', 'pub.1062460352', 'pub.1052331168', 'pub.1006463664', 'pub.1017959712', 'pub.1051771327', 'pub.1062554061', 'pub.1083288818', 'pub.1041680052', 'pub.1042176156', 'pub.1036519303', 'pub.1009670350', 'pub.1065159097', 'pub.1038840855', 'pub.1065189346', 'pub.1065215090', 'pub.1007133303', 'pub.1043669490', 'pub.1044465533', 'pub.1020122280', 'pub.1011359790', 'pub.1041459631']",0,Methods and compositions relating to super-resolution imaging and modification,2015
153,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['DigiLens Inc', 'DIGILENS INC']","[{'id': 'grid.456112.5', 'name': 'DigiLens (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10089516-B2,"['Milan Momcilo Popovich', 'Jonathan David Waldern']",2018-10-02,"['pub.1052650661', 'pub.1013450170', 'pub.1030695568', 'pub.1048025044', 'pub.1028215066', 'pub.1000883218', 'pub.1044290958', 'pub.1021375691', 'pub.1043542276', 'pub.1023819977', 'pub.1032955494', 'pub.1055415882', 'pub.1043090821', 'pub.1035946568', 'pub.1051335582', 'pub.1014473763', 'pub.1001316103', 'pub.1057701309', 'pub.1057728111', 'pub.1057823593', 'pub.1058273535', 'pub.1046434423', 'pub.1045349336', 'pub.1059052256', 'pub.1060720409', 'pub.1061179505', 'pub.1061278395', 'pub.1061297054', 'pub.1050229287', 'pub.1008371399', 'pub.1009081783', 'pub.1028801213', 'pub.1037378097', 'pub.1042690746', 'pub.1064236418', 'pub.1065120121', 'pub.1065124877', 'pub.1065152192', 'pub.1065154059', 'pub.1065169982', 'pub.1065182458', 'pub.1065189366', 'pub.1065195117', 'pub.1065196339', 'pub.1065218513', 'pub.1065226441', 'pub.1065231784', 'pub.1068576949', 'pub.1029191551', 'pub.1004016800', 'pub.1052541259', 'pub.1023968983', 'pub.1010170496', 'pub.1046772800', 'pub.1018700612', 'pub.1023609033', 'pub.1007086865', 'pub.1047292178', 'pub.1004383138']",1,Method and apparatus for contact image sensing,2017
154,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['ExxonMobil Research and Engineering Co', 'EXXONMOBIL RES & ENG CO']","[{'id': 'grid.421234.2', 'name': 'ExxonMobil (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10022700-B2,"['Paul Podsiadlo', 'Quanchang Li', 'David Charles CALABRO', 'Lei Zhang', 'Kiara M. Benitez', 'Himanshu Gupta', 'Xiaochun Xu', 'Scott J. Weigel', 'Darryl Donald Lacy', 'Bal Kaul', 'James William Gleeson', 'Wenyih Frank Lai', 'Mobae Afeworki', 'Simon Christopher WESTON', 'David A. Griffin', 'Meghan Nines']",2018-07-17,"['pub.1032378181', 'pub.1024521806', 'pub.1003341517', 'pub.1027923342', 'pub.1055419723', 'pub.1055600246', 'pub.1055836074', 'pub.1008492569', 'pub.1055997066', 'pub.1056064517', 'pub.1056081601', 'pub.1056207232', 'pub.1021601326', 'pub.1028071436', 'pub.1001173943', 'pub.1024206640', 'pub.1062448155']",0,Organosilica materials and uses thereof,2015
155,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Howard Hughes Medical Institute', 'HUGHES HOWARD MED INST']","[{'id': 'grid.413575.1', 'acronym': 'HHMI', 'name': 'Howard Hughes Medical Institute', 'country_name': 'United States'}]",Grant,2011.0,US-7924432-B2,"['Harald F. Hess', 'Gleb Shtengel']",2011-04-12,['pub.1014551162'],14,Three-dimensional interferometric microscopy,2009
156,,"['Raytheon Co', 'RAYTHEON CO']","[{'id': 'grid.417480.e', 'name': 'Raytheon (United States)', 'country_name': 'United States'}]",Grant,2017.0,US-9772451-B2,"['Irl W. Smith', 'Terry A. Dorschner']",2017-09-26,"['pub.1061297054', 'pub.1065115642']",0,High power optical switch,2016
157,"[{'id': '2447', 'name': '0303 Macromolecular and Materials Chemistry'}]","['Northwestern University', 'MARKS TOBIN J', 'WEISS CHARLES J', 'WOBSER STEPHEN D', 'UNIV NORTHWESTERN']","[{'id': 'grid.16753.36', 'acronym': 'NU', 'name': 'Northwestern University', 'country_name': 'United States'}]",Grant,2013.0,US-8609902-B2,"['Tobin J. Marks', 'Charles J. Weiss', 'Stephen D. Wobser']",2013-12-17,"['pub.1021824372', 'pub.1031730866', 'pub.1044378406', 'pub.1027191795', 'pub.1016680686', 'pub.1007308508', 'pub.1006635991', 'pub.1037050230', 'pub.1025460115', 'pub.1029559718', 'pub.1050021211', 'pub.1005299610', 'pub.1032152518', 'pub.1044642629', 'pub.1037114083', 'pub.1055149795', 'pub.1006142186', 'pub.1043494529', 'pub.1045993737', 'pub.1055560483', 'pub.1055700232', 'pub.1055701451', 'pub.1055707049', 'pub.1055766665', 'pub.1055833810', 'pub.1055836412', 'pub.1055837445', 'pub.1055840000', 'pub.1055842062', 'pub.1055843391', 'pub.1055843726', 'pub.1055844830', 'pub.1055844837', 'pub.1055859663', 'pub.1055860094', 'pub.1055862345', 'pub.1055867162', 'pub.1055869050', 'pub.1055871131', 'pub.1055871298', 'pub.1055873143', 'pub.1056018307', 'pub.1056021592', 'pub.1056035669', 'pub.1056246561', 'pub.1056249086', 'pub.1056257986', 'pub.1056258292', 'pub.1056259075', 'pub.1056272398', 'pub.1056272658', 'pub.1056273524', 'pub.1056274176', 'pub.1056274572', 'pub.1056274840', 'pub.1056275141', 'pub.1056280310', 'pub.1056280391', 'pub.1056280570', 'pub.1056280622', 'pub.1056282245', 'pub.1056283158', 'pub.1056285595', 'pub.1019268260', 'pub.1025980527', 'pub.1031238522', 'pub.1000995521', 'pub.1000367203', 'pub.1034382676', 'pub.1057107841', 'pub.1013025982', 'pub.1039117123']",0,"Organoactinide-, organolanthanide-, and organogroup-4-mediated hydrothiolation of terminal alkynes with aliphatic, aromatic and benzylic thiols",2010
158,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Harvard College', 'HARVARD COLLEGE']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]",Grant,2017.0,US-9712805-B2,"['Xiaowei Zhuang', 'Bo Huang', 'Wilfred M. Bates', 'Wenqin Wang']",2017-07-18,"['pub.1002827194', 'pub.1022172903', 'pub.1049268300', 'pub.1026350706', 'pub.1013277164', 'pub.1029818442', 'pub.1045995150', 'pub.1041404866', 'pub.1003390137', 'pub.1038270145', 'pub.1055152495', 'pub.1045186639', 'pub.1055844949', 'pub.1056042153', 'pub.1056064378', 'pub.1025693781', 'pub.1038695252', 'pub.1032298028', 'pub.1029362798', 'pub.1040342486', 'pub.1049908058', 'pub.1012051002', 'pub.1030665993', 'pub.1021813707', 'pub.1018882864', 'pub.1044627216', 'pub.1024916372', 'pub.1004575063', 'pub.1050625644', 'pub.1012403980', 'pub.1050279187', 'pub.1022013159', 'pub.1014551162', 'pub.1014212092', 'pub.1038068501', 'pub.1012570814', 'pub.1022108219', 'pub.1046816337', 'pub.1005581664', 'pub.1065166994', 'pub.1065190199', 'pub.1065215090', 'pub.1065220761', 'pub.1008483490', 'pub.1034907963', 'pub.1022760467', 'pub.1032286860', 'pub.1004572329']",0,Sub-diffraction limit image resolution in three dimensions,2015
159,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Leland Stanford Junior University', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",Grant,2017.0,US-9810893-B2,"['Adam S. Backer', 'Mikael P. Backlund', 'Alexander R. von Diezmann', 'Steffen J. Sahl']",2017-11-07,"['pub.1031965356', 'pub.1033457573', 'pub.1049070026', 'pub.1022758439', 'pub.1045995150', 'pub.1031247200', 'pub.1052850098', 'pub.1056221931', 'pub.1056222251', 'pub.1042243539', 'pub.1000606280', 'pub.1014551162', 'pub.1021082638', 'pub.1012281824', 'pub.1032129864', 'pub.1060817029', 'pub.1061713650', 'pub.1022108219', 'pub.1040861473', 'pub.1065233711', 'pub.1032286860', 'pub.1049973249', 'pub.1022865632']",2,Phase mask imaging with characterization of rotational mobility,2015
160,"[{'id': '2953', 'name': '0915 Interdisciplinary Engineering'}]","['Samsung Electronics Co Ltd', 'Seoul National University R&DB Foundation', 'SAMSUNG ELECTRONICS CO LTD', 'SNU R&DB FOUND']","[{'id': 'grid.419666.a', 'name': 'Samsung (South Korea)', 'country_name': 'South Korea'}, {'id': 'grid.31501.36', 'acronym': 'SNU', 'name': 'Seoul National University', 'country_name': 'South Korea'}]",Grant,2017.0,US-9823461-B2,"['Chilsung CHOI', 'Woohyuk Jang', 'Taekdong CHUNG']",2017-11-21,"['pub.1014466683', 'pub.1047582129', 'pub.1061297054']",0,Fluid for electrowetting device and electrowetting device including same,2015
161,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","['Jackson Laboratory', 'University of Maine System', 'JACKSON LAB', 'UNIV MAINE']","[{'id': 'grid.249880.f', 'name': 'Jackson Laboratory', 'country_name': 'United States'}, {'id': 'grid.411025.3', 'acronym': 'UMS', 'name': 'University of Maine System', 'country_name': 'United States'}]",Application,,EP-2631632-A1,"['BEWERSDORF, JOERG', 'JUETTE, MANUEL F.', 'GOULD, TRAVIS', 'HESS, SAM T.']",2013-08-28,"['pub.1038267163', 'pub.1025693781', 'pub.1018008586', 'pub.1022013159', 'pub.1014551162', 'pub.1046816337', 'pub.1005581664', 'pub.1013888200', 'pub.1032286860']",0,3D biplane microscopy,2009
162,,"['ExxonMobil Research and Engineering Co', 'WEIGEL SCOTT J', 'ZHANG LEI', 'LI QUANCHANG', 'LACY DARRYL DONALD', 'PODSIADLO PAUL', 'CALABRO DAVID CHARLES', 'KAUL BAL', 'GLEESON JAMES WILLIAM', 'EXXONMOBIL RES & ENG CO']","[{'id': 'grid.421234.2', 'name': 'ExxonMobil (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9956541-B2,"['Scott J. Weigel', 'Lei Zhang', 'Quanchang Li', 'Darryl Donald Lacy', 'Paul Podsiadlo', 'David Charles CALABRO', 'Bal Kaul', 'James William Gleeson']",2018-05-01,"['pub.1013001030', 'pub.1032378181', 'pub.1024521806', 'pub.1003341517', 'pub.1027923342', 'pub.1055419723', 'pub.1055600246', 'pub.1055836074', 'pub.1008492569', 'pub.1056064517', 'pub.1056081601', 'pub.1056207232', 'pub.1021601326', 'pub.1028071436', 'pub.1001173943', 'pub.1019876724', 'pub.1024206640', 'pub.1062448155']",0,Methods of separating aromatic compounds from lube base stocks,2015
163,"[{'id': '2746', 'name': '0801 Artificial Intelligence and Image Processing'}]","['University of Colorado Boulder', 'UNIV COLORADO']","[{'id': 'grid.266185.e', 'acronym': 'CU', 'name': 'University of Colorado System', 'country_name': 'United States'}, {'id': 'grid.266190.a', 'acronym': 'UCB', 'name': 'University of Colorado Boulder', 'country_name': 'United States'}]",Application,,US-20110249866-A1,"['Rafael Piestun', 'Sean Albert Quirin']",2011-10-13,['pub.1014551162'],45,"METHODS AND SYSTEMS FOR THREE DIMENSIONAL OPTICAL IMAGING, SENSING, PARTICLE LOCALIZATION AND MANIPULATION",2011
164,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Kent State University', 'Leland Stanford Junior University', 'TWIEG ROBERT J', 'MOERNER WILLIAM E', 'LORD SAMUEL J', 'LIU NA', 'SAMUEL REICHEL', 'UNIV KENT STATE OHIO', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.258518.3', 'acronym': 'KSU', 'name': 'Kent State University', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",Grant,2014.0,US-8772048-B2,"['Robert J. Twieg', 'William E. Moerner', 'Samuel J. Lord', 'Na LIU', 'Reichel Samuel']",2014-07-08,"['pub.1038267163', 'pub.1026987833', 'pub.1021572742', 'pub.1042540898', 'pub.1025870963', 'pub.1029547982', 'pub.1045181685', 'pub.1030730167', 'pub.1050461131', 'pub.1027204850', 'pub.1054976248', 'pub.1055408572', 'pub.1055701217', 'pub.1055705070', 'pub.1055719396', 'pub.1055739922', 'pub.1055766636', 'pub.1023803179', 'pub.1007475976', 'pub.1055865805', 'pub.1055971993', 'pub.1055977818', 'pub.1055994418', 'pub.1056053831', 'pub.1056258650', 'pub.1015891047', 'pub.1028564827', 'pub.1018882864', 'pub.1039240840', 'pub.1052961777', 'pub.1012576252', 'pub.1004298192', 'pub.1001487319', 'pub.1038334234', 'pub.1026907299', 'pub.1012570814', 'pub.1022108219', 'pub.1062552025', 'pub.1035020222', 'pub.1032286860']",0,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems,2012
165,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Sharp Corp', 'SeeReal Technologies SA', 'USUKURA NARU', 'KATOH HIROMI', 'KANBAYASHI YUICHI', 'LEISTER NORBERT', 'HAUSSLER RALF', 'SHARP KK', 'SEEREAL TECH S A']","[{'id': 'grid.410831.f', 'name': 'Sharp (Japan)', 'country_name': 'Japan'}]",Grant,2017.0,US-9810948-B2,"['Naru Usukura', 'Hiromi Katoh', 'Yuichi Kanbayashi', 'Norbert Leister', 'Ralf Haussler']",2017-11-07,"['pub.1043307516', 'pub.1057706990', 'pub.1061297054', 'pub.1028910835', 'pub.1043666865']",0,Spatial light modulator comprising a liquid crystal device having reduced stray light,2012
166,"[{'id': '2867', 'name': '0906 Electrical and Electronic Engineering'}, {'id': '2409', 'name': '0205 Optical Physics'}]",['CHARLES STARK DRAPER LABORATORY INC'],"[{'id': 'grid.417533.7', 'name': 'Draper Laboratory', 'country_name': 'United States'}]",Application,,WO-2018075115-A2,"['LAINE, JUHA-PEKKA J.', 'STONER, RICHARD E.', 'SALTZMAN, ADAM J.', 'MCCARTHY, TIMOTHY J.', 'SMITH, STEPHEN P.']",2018-04-26,"['pub.1061145880', 'pub.1061182782', 'pub.1061297054', 'pub.1061703890', 'pub.1063285625', 'pub.1065218315', 'pub.1065219913', 'pub.1032658330']",0,ALL-FIBER PHASE-MODULATED FIBER OPTIC SENSOR AND PHASED ARRAY,2017
167,"[{'id': '2409', 'name': '0205 Optical Physics'}]","['Eidgenoessische Technische Hochschule Zurich (ETHZ)', 'California Institute of Technology', 'ETH ZUERICH', 'CALIFORNIA INST OF TECHN']","[{'id': 'grid.5801.c', 'name': 'Swiss Federal Institute of Technology in Zurich', 'country_name': 'Switzerland'}, {'id': 'grid.20861.3d', 'acronym': 'CIT', 'name': 'California Institute of Technology', 'country_name': 'United States'}]",Grant,2018.0,US-9971136-B2,"['Periklis Pantazis', 'William P. Dempsey', 'Thai V. Truong', 'Scott E. Fraser', 'Lada GEORGIEVA']",2018-05-15,"['pub.1012340163', 'pub.1037056216', 'pub.1034955798', 'pub.1032298028', 'pub.1046135132', 'pub.1025891126', 'pub.1000018133', 'pub.1029320222', 'pub.1050187588', 'pub.1018882864', 'pub.1012403980', 'pub.1023846851', 'pub.1022013159', 'pub.1014551162', 'pub.1014808796', 'pub.1020397958', 'pub.1027159900', 'pub.1026907299', 'pub.1022108219', 'pub.1031705612', 'pub.1050836823', 'pub.1065215090', 'pub.1005659697', 'pub.1032286860', 'pub.1019425310', 'pub.1018236240']",0,Method and device to achieve spatially confined photointeraction at the focal volume of a microscope,2014
168,"[{'id': '2921', 'name': '0912 Materials Engineering'}]","['ExxonMobil Research and Engineering Co', 'LI QUANCHANG', 'PARTRIDGE RANDALL D', 'EXXONMOBIL RES & ENG CO']","[{'id': 'grid.421234.2', 'name': 'ExxonMobil (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-10022701-B2,"['Quanchang Li', 'Randall D. Partridge']",2018-07-17,"['pub.1032378181', 'pub.1024521806', 'pub.1003341517', 'pub.1027923342', 'pub.1055419723', 'pub.1055600246', 'pub.1055836074', 'pub.1008492569', 'pub.1055997066', 'pub.1056064517', 'pub.1056081601', 'pub.1056207232', 'pub.1021601326', 'pub.1028071436', 'pub.1001173943', 'pub.1024206640', 'pub.1062448155']",0,Coating methods using organosilica materials and uses thereof,2015
169,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Raytheon Co', 'RAYTHEON CO']","[{'id': 'grid.417480.e', 'name': 'Raytheon (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9865988-B2,"['David M. Filgas', 'Stephen H. McGanty', 'Christopher R. Koontz']",2018-01-09,['pub.1061297054'],0,High-power planar waveguide (PWG) pumphead with modular components for high-power laser system,2016
170,"[{'id': '2421', 'name': '0299 Other Physical Sciences'}]","['Leland Stanford Junior University', 'UNIV LELAND STANFORD JUNIOR']","[{'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}]",Grant,2017.0,US-9693034-B2,"['Matthew D. Lew', 'William E. Moerner']",2017-06-27,"['pub.1031965356', 'pub.1033457573', 'pub.1049070026', 'pub.1022758439', 'pub.1045995150', 'pub.1031247200', 'pub.1052850098', 'pub.1056221931', 'pub.1056222251', 'pub.1042243539', 'pub.1000606280', 'pub.1014551162', 'pub.1021082638', 'pub.1012281824', 'pub.1032129864', 'pub.1060817029', 'pub.1061713650', 'pub.1022108219', 'pub.1040861473', 'pub.1065233711', 'pub.1032286860', 'pub.1049973249', 'pub.1022865632']",2,Apparatus and method for localizing objects for distance and/or in three dimensions using a spiral point spread function,2012
171,"[{'id': '2471', 'name': '0306 Physical Chemistry (incl. Structural)'}]","['Max-Planck-Gesellschaft zur Forderung der Wissenschaften', 'MAX PLANCK GESELLSCHAFT']","[{'id': 'grid.4372.2', 'acronym': 'MPG', 'name': 'Max Planck Society', 'country_name': 'Germany'}]",Grant,2016.0,US-9291562-B2,['Stefan W. Hell'],2016-03-22,"['pub.1056217639', 'pub.1014802722', 'pub.1014551162', 'pub.1037370300', 'pub.1022859900']",2,"Method and apparatus for tracking a particle, particularly a single molecule, in a sample",2013
172,"[{'id': '2581', 'name': '0601 Biochemistry and Cell Biology'}]","['Harvard College', 'HARVARD COLLEGE']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]",Grant,2018.0,US-10041108-B2,"['Robert Barish', 'Peng Yin']",2018-08-07,"['pub.1031218136', 'pub.1043638915', 'pub.1003164417', 'pub.1007853236', 'pub.1053514788', 'pub.1006488922', 'pub.1010403050', 'pub.1026958546', 'pub.1007816560', 'pub.1010838518', 'pub.1029198365', 'pub.1052786842', 'pub.1019108309', 'pub.1000689265', 'pub.1005720920', 'pub.1017507875', 'pub.1052341201', 'pub.1048613665', 'pub.1045990670', 'pub.1005288477', 'pub.1017069332', 'pub.1045695037', 'pub.1045995150', 'pub.1012236485', 'pub.1024456939', 'pub.1043976379', 'pub.1054076278', 'pub.1054055364', 'pub.1054993674', 'pub.1005838886', 'pub.1045186639', 'pub.1055848633', 'pub.1010893751', 'pub.1049844850', 'pub.1051000906', 'pub.1015552893', 'pub.1055860638', 'pub.1049657450', 'pub.1044024645', 'pub.1025479717', 'pub.1056120949', 'pub.1056123313', 'pub.1056126795', 'pub.1056260346', 'pub.1015431161', 'pub.1013163341', 'pub.1005524321', 'pub.1024904245', 'pub.1031185154', 'pub.1004646089', 'pub.1029099573', 'pub.1014061671', 'pub.1036498805', 'pub.1041715696', 'pub.1008920914', 'pub.1004035346', 'pub.1032740004', 'pub.1029362798', 'pub.1012490177', 'pub.1017575936', 'pub.1030665993', 'pub.1043491552', 'pub.1040676779', 'pub.1006579896', 'pub.1051021562', 'pub.1036641760', 'pub.1032254220', 'pub.1018882864', 'pub.1006008471', 'pub.1047295499', 'pub.1002422470', 'pub.1029360393', 'pub.1018501444', 'pub.1034803646', 'pub.1038058175', 'pub.1023877932', 'pub.1034812643', 'pub.1038486440', 'pub.1044910093', 'pub.1023565177', 'pub.1057938292', 'pub.1027384218', 'pub.1058004043', 'pub.1045406480', 'pub.1014802722', 'pub.1036737982', 'pub.1005549896', 'pub.1014551162', 'pub.1049061991', 'pub.1032129864', 'pub.1040452142', 'pub.1014053779', 'pub.1015679949', 'pub.1009187647', 'pub.1050652321', 'pub.1027232166', 'pub.1020766143', 'pub.1059051030', 'pub.1038068501', 'pub.1048415882', 'pub.1022202754', 'pub.1000582818', 'pub.1021923425', 'pub.1062449581', 'pub.1022108219', 'pub.1046816337', 'pub.1005581664', 'pub.1062460352', 'pub.1052331168', 'pub.1006463664', 'pub.1017959712', 'pub.1051771327', 'pub.1062554061', 'pub.1083288818', 'pub.1041680052', 'pub.1042176156', 'pub.1036519303', 'pub.1009670350', 'pub.1065159097', 'pub.1038840855', 'pub.1065189346', 'pub.1065215090', 'pub.1007133303', 'pub.1043669490', 'pub.1044465533', 'pub.1020122280', 'pub.1011359790', 'pub.1041459631']",0,Methods and compositions relating to optical super-resolution patterning,2014
