,total_grants,id,last_grant_year
532,1,ur.01033253466.59,2020.0
533,9,ur.016617734537.91,2020.0
534,5,ur.0645574023.20,2022.0
535,1,ur.014662071411.49,2022.0
536,0,ur.01330734403.13,
537,5,ur.01213427467.35,2024.0
538,0,ur.0711664555.48,
539,0,ur.01357677605.16,
540,0,ur.0703721454.58,
541,16,ur.01141622516.63,2016.0
542,24,ur.013001172722.66,2024.0
543,47,ur.0611446267.37,2024.0
544,7,ur.0726250204.50,2024.0
545,0,ur.01116142672.76,
546,9,ur.011253462352.60,2019.0
547,0,ur.0712635675.19,
548,0,ur.0720776104.57,
549,32,ur.0764542450.95,2024.0
550,0,ur.0615720251.26,
551,4,ur.01240102026.84,2016.0
552,5,ur.01354003761.82,2015.0
553,3,ur.01326632503.39,2021.0
554,1,ur.0706133702.96,2024.0
555,27,ur.01275207225.43,2024.0
556,15,ur.01150314501.36,2022.0
557,3,ur.01302706715.35,2019.0
558,2,ur.010075340637.84,2014.0
559,4,ur.01017630143.46,2021.0
560,2,ur.0611237150.50,2019.0
561,5,ur.01242416310.24,2018.0
562,23,ur.01266053113.52,2023.0
563,28,ur.01132757475.60,2020.0
564,2,ur.01157661566.11,2021.0
565,4,ur.01162244006.55,2027.0
566,0,ur.01102477220.69,
567,19,ur.013474104577.09,2023.0
568,21,ur.010452320737.68,2023.0
569,3,ur.01110104731.70,2019.0
570,3,ur.0756472337.58,2024.0
571,0,ur.01032525341.30,
572,7,ur.01347020047.71,2021.0
573,17,ur.01273166362.42,2021.0
574,0,ur.0753516076.98,
575,5,ur.0772174216.94,2024.0
576,43,ur.01145707302.20,2024.0
577,9,ur.01152762650.19,2018.0
578,5,ur.01020141307.74,2020.0
579,0,ur.01237661366.90,
580,13,ur.01117141733.07,2022.0
581,0,ur.01227116422.12,
582,3,ur.0723573746.66,2014.0
583,1,ur.0602760061.18,2022.0
584,2,ur.0733662425.46,2013.0
585,8,ur.01304013052.15,2023.0
586,23,ur.0705101106.89,2024.0
587,28,ur.0654613704.35,2024.0
588,11,ur.01350520316.03,2022.0
589,6,ur.01015000422.63,2023.0
590,2,ur.01024046525.32,2022.0
591,64,ur.01127752143.12,2025.0
592,14,ur.01142432564.72,2020.0
593,0,ur.01327771662.24,
594,7,ur.01274472031.96,2024.0
595,12,ur.01041051470.29,2024.0
596,0,ur.01235162135.10,
597,13,ur.01307230613.73,2024.0
598,22,ur.013765676317.14,2024.0
599,2,ur.012202026677.65,2002.0
600,25,ur.0745200615.51,2022.0
601,5,ur.01065203525.67,2023.0
602,0,ur.01205523707.73,
603,20,ur.01221110417.53,2023.0
604,39,ur.014617747257.97,2023.0
605,5,ur.013512014047.87,2024.0
606,50,ur.013366447000.98,2022.0
607,5,ur.0763410441.30,2019.0
608,0,ur.014772144766.03,
609,0,ur.016441375557.13,
610,0,ur.0711430001.54,
611,0,ur.01267126530.10,
612,0,ur.0712255320.24,
613,0,ur.0661002462.53,
614,1,ur.0672020421.27,2020.0
615,0,ur.01073110664.66,
616,0,ur.01013762020.04,
617,2,ur.0660350640.19,2016.0
618,0,ur.0707333073.25,
619,4,ur.01201362637.02,2021.0
620,0,ur.07373714373.74,
621,0,ur.012516024366.43,
622,0,ur.01354277023.89,
623,0,ur.01210060353.68,
624,2,ur.014104052415.98,2024.0
625,2,ur.01255157234.57,2020.0
626,1,ur.013760043547.76,2019.0
627,0,ur.01252313105.37,
628,0,ur.01345057751.89,
629,0,ur.01275220170.77,
630,1,ur.0664060255.24,2015.0
631,3,ur.01345112136.24,2020.0
632,11,ur.01072063605.26,2022.0
633,0,ur.010127456152.27,
634,0,ur.01033774323.12,
635,0,ur.015366710405.54,
636,0,ur.01366421627.04,
637,19,ur.01260666165.62,2020.0
638,4,ur.0750043301.69,2013.0
639,11,ur.0604436333.39,2018.0
640,5,ur.01351041437.40,2022.0
641,27,ur.016120675237.33,2024.0
642,7,ur.01250423661.24,2024.0
643,7,ur.0621721526.17,2018.0
644,2,ur.01155116665.01,2019.0
645,1,ur.01272671604.52,2017.0
646,0,ur.0575521461.12,
647,0,ur.01014744771.72,
648,0,ur.01003725424.65,
649,0,ur.0765201673.95,
650,9,ur.01010701573.25,2021.0
651,2,ur.01354702574.20,2020.0
652,1,ur.01062400635.79,2021.0
653,22,ur.01221734637.59,2023.0
654,20,ur.016661354517.50,2020.0
655,0,ur.01043744667.67,
656,0,ur.0614047157.56,
657,1,ur.01346361351.16,2022.0
658,2,ur.01303123537.21,2019.0
659,0,ur.01056010055.08,
660,4,ur.01122752345.28,2023.0
661,5,ur.01262170300.25,2020.0
662,16,ur.014345267457.07,2023.0
663,8,ur.010130357332.96,2022.0
664,1,ur.016165060366.07,2023.0
665,17,ur.01224407762.64,2022.0
666,9,ur.0576637151.16,2023.0
667,17,ur.01215526415.55,2023.0
668,1,ur.0677736440.29,2023.0
669,28,ur.01150306557.04,2021.0
670,2,ur.010312422777.39,2021.0
671,7,ur.0624763146.01,2024.0
672,1,ur.01032327555.79,2015.0
673,0,ur.010662623474.74,
674,3,ur.01016157627.69,2023.0
675,72,ur.01150455763.02,2024.0
676,11,ur.01013304513.36,2023.0
677,0,ur.01006673241.52,
678,9,ur.0776022700.87,2023.0
679,0,ur.013215632737.47,
680,1,ur.01143574237.24,2023.0
681,1,ur.01040002611.24,2015.0
682,0,ur.01334675114.72,
683,24,ur.01262760646.95,2020.0
684,9,ur.0674747100.57,2017.0
685,9,ur.01024612701.33,2023.0
686,28,ur.0673132341.78,2020.0
687,18,ur.0654520527.44,2024.0
688,15,ur.0600613727.54,2024.0
689,0,ur.01272473463.54,
690,22,ur.016446772157.75,2022.0
691,7,ur.0605464570.76,2022.0
692,8,ur.01020043741.02,2019.0
693,6,ur.01220054741.71,2018.0
694,0,ur.01325332007.59,
695,0,ur.01116254763.53,
696,0,ur.01027352664.02,
697,0,ur.01310017710.74,
698,0,ur.01107436446.52,
699,0,ur.01325572134.46,
700,0,ur.01046705311.08,
701,0,ur.01315221535.21,
702,0,ur.0607771645.44,
703,1,ur.01240233274.17,2012.0
704,0,ur.0663762252.36,
705,0,ur.0613664645.53,
706,0,ur.0740552547.32,
707,0,ur.01217436350.96,
708,0,ur.012253425364.60,
709,0,ur.014620326475.28,
710,0,ur.0774636110.09,
711,1,ur.0732664524.92,2014.0
712,0,ur.0631601743.33,
713,0,ur.014602566457.34,
714,0,ur.01260600634.53,
715,3,ur.01110455304.93,2024.0
716,0,ur.0714371637.39,
