,id,last_grant_year,total_grants
705,ur.0754274002.97,2023.0,14.0
706,ur.010101505177.49,2020.0,32.0
707,ur.015206537357.39,2007.0,1.0
708,ur.015112627317.73,2018.0,2.0
709,ur.015645550457.99,2015.0,4.0
710,ur.0736713725.41,,
711,ur.01224176021.90,,
712,ur.0714227664.21,,
713,ur.0757332456.37,,
714,ur.012353231675.17,,
715,ur.01341205376.74,,
716,ur.016317135745.67,,
717,ur.07723070461.51,,
718,ur.0603012530.33,2018.0,18.0
719,ur.01204470014.51,2019.0,12.0
720,ur.01132314305.16,2018.0,16.0
721,ur.0754202045.02,,
722,ur.01134314703.76,2023.0,25.0
723,ur.01205454434.38,,
724,ur.0575776442.24,,
725,ur.01006524472.69,2023.0,19.0
726,ur.0626001405.26,,
727,ur.01343437571.76,2021.0,23.0
728,ur.01275601577.27,,
729,ur.01215177774.25,,
730,ur.01036516062.45,,
731,ur.01055716156.21,2023.0,8.0
732,ur.0703577540.65,2024.0,5.0
733,ur.0731607426.14,2020.0,5.0
734,ur.0666011146.86,2020.0,2.0
735,ur.01260753642.13,2017.0,3.0
736,ur.0715214034.05,2018.0,7.0
737,ur.01163250252.90,,
738,ur.01225247126.20,,
739,ur.0631561714.29,2022.0,12.0
740,ur.0721607077.65,,
741,ur.01220655635.19,2021.0,3.0
742,ur.01110221360.02,2002.0,1.0
743,ur.0653212145.73,2019.0,1.0
744,ur.0627545135.27,2020.0,10.0
745,ur.01215000714.10,2018.0,4.0
746,ur.01064606177.62,,
747,ur.0626455700.29,,1.0
748,ur.01322720426.10,2019.0,1.0
749,ur.01162764321.86,,
750,ur.0657071261.03,2011.0,2.0
751,ur.01354776404.02,2024.0,1.0
752,ur.01177041472.42,,
753,ur.01002106575.49,,
754,ur.013400105157.02,,
755,ur.014007046777.39,2018.0,7.0
756,ur.01074100021.48,2019.0,4.0
757,ur.01253727547.17,2007.0,2.0
758,ur.01354515005.74,,
759,ur.01333522301.15,,
760,ur.0624052041.17,2021.0,8.0
761,ur.01060576561.19,2018.0,6.0
762,ur.0701230635.04,,
763,ur.0733474324.74,,
