researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url
ur.01342223366.01,11,Artitaya Lophatananon,109.45454545454545,275.8181818181818,2021,
ur.01002162132.49,11,Renée de Mutsert,217.8181818181818,305.54545454545456,2020,
ur.01042545356.70,11,Thilo Dörk,158.63636363636363,221.36363636363637,2020,
ur.01162661543.44,11,Andreas J Forstner,434.90909090909093,496.72727272727275,2021,
ur.01223606626.04,11,Stavroula Kanoni,256.72727272727275,191.0,2021,
ur.01307114140.50,11,Oddgeir L. Holmen,173.0,190.27272727272728,2019,
ur.01156677161.00,11,Esther M. John,146.54545454545453,290.0,2021,
ur.01043635414.51,11,Stig E. Bojesen,167.54545454545453,276.09090909090907,2021,
ur.0727145700.91,11,Georg Homuth,261.27272727272725,322.6363636363636,2021,
ur.0650743215.20,11,Anne U. Jackson,150.8181818181818,163.63636363636363,2019,
ur.0721636067.97,11,Christopher Newton-Cheh,190.27272727272728,165.1818181818182,2021,
ur.01170271720.20,11,Paul I W de Bakker,187.72727272727272,177.0,2019,
ur.07746151362.14,11,Preben Bo Mortensen,511.72727272727275,499.45454545454544,2021,
ur.015440420777.43,11,Alex P Reiner,120.45454545454545,131.1818181818182,2019,
ur.012171701167.35,11,Nicholas A. Furlotte,258.8181818181818,450.8181818181818,2019,
ur.01041061221.12,11,Soo-Hwang Teo,151.27272727272728,284.0,2021,
ur.012120707502.38,11,Jamie E. Craig,159.0,129.63636363636363,2020,
ur.0765006250.25,11,Carolina Medina-Gomez,113.45454545454545,238.72727272727272,2021,
ur.01063107667.97,11,Gyda Bjornsdottir,245.1818181818182,293.6363636363636,2019,
ur.01032327555.79,11,Yukihide Momozawa,103.63636363636364,91.36363636363636,2021,
ur.014612650514.15,11,Loic Le Marchand,175.9090909090909,213.72727272727272,2021,
ur.01070337133.28,11,Fergus J Couch,179.0909090909091,274.1818181818182,2020,
ur.01255257303.12,11,Kari Kuulasmaa,118.45454545454545,154.45454545454547,2021,
ur.0642437710.09,11,Hoda Anton-Culver,153.8181818181818,212.1818181818182,2020,
ur.01352744336.54,11,Anke R. Hammerschlag,187.36363636363637,449.27272727272725,2019,
ur.0616256460.84,11,John L Hopper,177.54545454545453,321.3636363636364,2020,
ur.01160554431.67,11,Jean Ferrieres,118.45454545454545,154.45454545454547,2021,
ur.01073110664.66,11,Jakob Grove,518.6363636363636,515.7272727272727,2021,
ur.01033253466.59,11,Marc Jan Bonder,145.9090909090909,172.27272727272728,2021,
ur.0727107235.84,11,Morris A Swertz,196.1818181818182,181.8181818181818,2021,
ur.01133243663.61,11,Alexandra Zhernakova,157.36363636363637,147.72727272727272,2021,
