,id,name,country_name,acronym,grant_id,grant_year,grant_title
174,grid.417924.d,Sanofi (France),France,,US-9670261-B2,2013,Functionalized exendin-4 derivatives
175,grid.419815.0,Microsoft (United States),United States,,WO-2016164193-A1,2016,FORCE-SENSITIVE TOUCH SENSOR COMPENSATION
176,grid.5949.1,University of Münster,Germany,WWU,WO-2016067238-A1,2015,QUINOLINE-3-CARBOXAMIDE COMPOUNDS AND THEIR USE IN DIAGNOSIS
177,grid.418158.1,Roche (United States),United States,Roche,WO-2017084989-A1,2016,ALEGLITAZAR FOR THE TREATMENT OF DIABETIC KIDNEY DISEASE
178,grid.417570.0,Roche (Switzerland),Switzerland,,WO-2017084989-A1,2016,ALEGLITAZAR FOR THE TREATMENT OF DIABETIC KIDNEY DISEASE
179,grid.419815.0,Microsoft (United States),United States,,US-9612685-B2,2015,Force-sensitive touch sensor compensation
180,grid.418726.e,Purdue Pharma (United States),United States,,US-9993482-B2,2015,Pharmaceutical combination comprising a class III receptor tyrosine kinase inhibitor and the alkylating histone-deacetylase inhibitor fusion molecule EDO-S101 together with its use in the treatment of cancer
181,grid.418030.e,Industrial Technology Research Institute,Taiwan,ITRI,US-10021596-B2,2016,"Communication system, communication device, base station and method thereof for D2D communications"
182,grid.497669.3,Anterogen ( South Korea),South Korea,,EP-3290028-A4,2017,MESENCHYMAL STEM CELL-HYDROGEL-BIODEGRADABLE OR MESENCHYMAL STEM CELL-HYDROGEL-NONDEGRADABLE SUPPORT COMPOSITION FOR ALLEVIATING OR REMEDYING EPIDERMOLYSIS BULLOSA
183,grid.497734.a,Bukwang Pharmaceutical (South Korea),South Korea,,EP-3290028-A4,2017,MESENCHYMAL STEM CELL-HYDROGEL-BIODEGRADABLE OR MESENCHYMAL STEM CELL-HYDROGEL-NONDEGRADABLE SUPPORT COMPOSITION FOR ALLEVIATING OR REMEDYING EPIDERMOLYSIS BULLOSA
184,grid.417284.c,Philips (Netherlands),Netherlands,,WO-2016180786-A1,2016,MAGNETIC RESONANCE EXAMINATION SYSTEM WITH FIELD PROBES
